Observer,Point,StartTime,Site,Bird_Point,Visit,Date,Cloud,Temp,Wind,Aou_Code,Distance,Detection,Flyover,Sex
JSC,1,709,BL18NE,BL18NE1,1,60614,80,13,10,BOBO,68,V,,M
JSC,1,709,BL18NE,BL18NE1,1,60614,80,13,10,BOBO,56,V,,M
JSC,1,709,BL18NE,BL18NE1,1,60614,80,13,10,BOBO,69,S,,
JSC,1,709,BL18NE,BL18NE1,1,60614,80,13,10,SEWR,69,S,,
JSC,1,709,BL18NE,BL18NE1,1,60614,80,13,10,SAVS,56,S,,
JSC,1,709,BL18NE,BL18NE1,1,60614,80,13,10,RWBL,61,S,,
JSC,1,709,BL18NE,BL18NE1,1,60614,80,13,10,COYE,56,S,,
JSC,1,709,BL18NE,BL18NE1,1,60614,80,13,10,SAVS,51,V,,
JSC,1,709,BL18NE,BL18NE1,1,60614,80,13,10,LCSP,20,S,,
JSC,1,709,BL18NE,BL18NE1,1,60614,80,13,10,RWBL,72,V,,M
JSC,1,649,BL18NE,BL18NE1,2,61614,0,15,4.4,BOBO,14,V,,M
JSC,1,649,BL18NE,BL18NE1,2,61614,0,15,4.4,SAVS,8,V,,
JSC,1,649,BL18NE,BL18NE1,2,61614,0,15,4.4,SEWR,26,S,,
JSC,1,649,BL18NE,BL18NE1,2,61614,0,15,4.4,SEWR,34,S,,
JSC,1,649,BL18NE,BL18NE1,2,61614,0,15,4.4,SAVS,20,V,,
JSC,1,649,BL18NE,BL18NE1,2,61614,0,15,4.4,BOBO,59,V,,M
JSC,1,649,BL18NE,BL18NE1,2,61614,0,15,4.4,BOBO,63,V,,M
JSC,1,649,BL18NE,BL18NE1,2,61614,0,15,4.4,SAVS,24,S,,
JSC,1,649,BL18NE,BL18NE1,2,61614,0,15,4.4,BOBO,53,V,,M
JSC,1,649,BL18NE,BL18NE1,2,61614,0,15,4.4,BOBO,54,V,,M
JSC,1,649,BL18NE,BL18NE1,2,61614,0,15,4.4,SORA,73,S,,
JSC,1,649,BL18NE,BL18NE1,2,61614,0,15,4.4,LCSP,33,S,,
JSC,1,531,BL18NE,BL18NE1,3,62614,95,16,3.1,SORA,96,S,,
JSC,1,531,BL18NE,BL18NE1,3,62614,95,16,3.1,SORA,89,S,,
JSC,1,531,BL18NE,BL18NE1,3,62614,95,16,3.1,LCSP,42,S,,
JSC,1,531,BL18NE,BL18NE1,3,62614,95,16,3.1,SAVS,48,S,,
JSC,1,531,BL18NE,BL18NE1,3,62614,95,16,3.1,SEWR,76,S,,
JSC,1,531,BL18NE,BL18NE1,3,62614,95,16,3.1,SEWR,54,S,,
JSC,1,531,BL18NE,BL18NE1,3,62614,95,16,3.1,SEWR,68,S,,
JSC,1,531,BL18NE,BL18NE1,3,62614,95,16,3.1,MAWR,75,S,,
JSC,1,531,BL18NE,BL18NE1,3,62614,95,16,3.1,MAWR,80,S,,
JSC,1,531,BL18NE,BL18NE1,3,62614,95,16,3.1,SAVS,32,S,,
JSC,1,531,BL18NE,BL18NE1,3,62614,95,16,3.1,RWBL,78,S,,
JSC,1,531,BL18NE,BL18NE1,3,62614,95,16,3.1,RWBL,89,S,,
JSC,1,531,BL18NE,BL18NE1,3,62614,95,16,3.1,BOBO,56,V,,M
JSC,1,531,BL18NE,BL18NE1,3,62614,95,16,3.1,BOBO,58,V,,M
JSC,2,657,BL18NE,BL18NE2,1,60614,89,13,5.6,MAWR,53,S,,
JSC,2,657,BL18NE,BL18NE2,1,60614,89,13,5.6,SAVS,33,S,,
JSC,2,657,BL18NE,BL18NE2,1,60614,89,13,5.6,SAVS,38,S,,
JSC,2,657,BL18NE,BL18NE2,1,60614,89,13,5.6,RWBL,59,V,,M
JSC,2,657,BL18NE,BL18NE2,1,60614,89,13,5.6,RWBL,59,V,,M
JSC,2,657,BL18NE,BL18NE2,1,60614,89,13,5.6,RWBL,63,V,,M
JSC,2,657,BL18NE,BL18NE2,1,60614,89,13,5.6,COYE,29,S,,
JSC,2,657,BL18NE,BL18NE2,1,60614,89,13,5.6,MAWR,51,S,,
JSC,2,657,BL18NE,BL18NE2,1,60614,89,13,5.6,RWBL,44,V,,M
JSC,2,657,BL18NE,BL18NE2,1,60614,89,13,5.6,BOBO,62,V,,M
JSC,2,657,BL18NE,BL18NE2,1,60614,89,13,5.6,CCSP,42,S,,
JSC,2,657,BL18NE,BL18NE2,1,60614,89,13,5.6,SORA,56,S,,
JSC,2,657,BL18NE,BL18NE2,1,60614,89,13,5.6,SORA,41,S,,
JSC,2,657,BL18NE,BL18NE2,1,60614,89,13,5.6,AMBI,79,S,,
JSC,2,734,BL18NE,BL18NE2,2,61614,0,16.2,8,RWBL,28,V,,M
JSC,2,734,BL18NE,BL18NE2,2,61614,0,16.2,8,MAWR,54,S,,
JSC,2,734,BL18NE,BL18NE2,2,61614,0,16.2,8,MAWR,38,S,,
JSC,2,734,BL18NE,BL18NE2,2,61614,0,16.2,8,RWBL,34,V,,M
JSC,2,734,BL18NE,BL18NE2,2,61614,0,16.2,8,RWBL,36,V,,M
JSC,2,734,BL18NE,BL18NE2,2,61614,0,16.2,8,BOBO,34,S,,
JSC,2,734,BL18NE,BL18NE2,2,61614,0,16.2,8,CCSP,38,S,,
JSC,2,734,BL18NE,BL18NE2,2,61614,0,16.2,8,SORA,89,S,,
JSC,2,734,BL18NE,BL18NE2,2,61614,0,16.2,8,CCSP,43,S,,
JSC,2,734,BL18NE,BL18NE2,2,61614,0,16.2,8,MAWR,38,S,,
JSC,2,734,BL18NE,BL18NE2,2,61614,0,16.2,8,SAVS,35,S,,
JSC,2,734,BL18NE,BL18NE2,2,61614,0,16.2,8,RWBL,29,V,,M
JSC,2,642,BL18NE,BL18NE2,3,62614,100,16.7,3,SORA,68,S,,
