Observer,Bird_Point,Time,Site,Visit,Date,Wind,Aou_Code,Distance,Detection,Flyover,Sex,Notes
JSC,LE14SW1,655,LE14SW,1,52715,3,SAVS,25,V,,,
JSC,LE14SW1,655,LE14SW,1,52715,3,NESP,50,S,,,
JSC,LE14SW1,655,LE14SW,1,52715,3,COYE,42,S,,,
JSC,LE14SW1,655,LE14SW,1,52715,3,BOBO,52,V,,M,
JSC,LE14SW1,655,LE14SW,1,52715,3,SWSP,63,S,,,
JSC,LE14SW1,655,LE14SW,1,52715,3,BHCO,68,V,,M,
JSC,LE14SW1,655,LE14SW,1,52715,3,BHCO,68,V,,M,
JSC,LE14SW1,655,LE14SW,1,52715,3,BHCO,68,V,,M,
JSC,LE14SW1,655,LE14SW,1,52715,3,BHCO,68,V,,M,
JSC,LE14SW1,655,LE14SW,1,52715,3,LCSP,31,S,,,
JSC,LE14SW1,655,LE14SW,1,52715,3,RWBL,78,S,,,
JSC,LE14SW1,655,LE14SW,1,52715,3,COYE,80,S,,,
JSC,LE14SW1,655,LE14SW,1,52715,3,SAVS,63,S,,,
JSC,LE14SW2,644,LE14SW,1,52715,3,COYE,93,S,,,
JSC,LE14SW2,644,LE14SW,1,52715,3,SAVS,34,S,,,
JSC,LE14SW2,644,LE14SW,1,52715,3,WEME,92,S,,,
JSC,LE14SW2,644,LE14SW,1,52715,3,RWBL,78,V,,M,
JSC,LE14SW2,644,LE14SW,1,52715,3,SEWR,82,S,,,
JSC,LE14SW2,644,LE14SW,1,52715,3,SEWR,89,S,,,
JSC,LE14SW2,644,LE14SW,1,52715,3,SAVS,70,V,,,
JSC,LE14SW2,644,LE14SW,1,52715,3,COYE,83,S,,,
JSC,LE14SW2,644,LE14SW,1,52715,3,COYE,90,S,,,
JSC,LE14SW4,634,LE14SW,1,52715,4,COYE,87,S,,,
JSC,LE14SW4,634,LE14SW,1,52715,4,RWBL,80,S,,,
JSC,LE14SW4,634,LE14SW,1,52715,4,MAWR,93,S,,,
JSC,LE14SW4,634,LE14SW,1,52715,4,BOBO,75,V,,M,
JSC,LE14SW4,634,LE14SW,1,52715,4,CCSP,82,S,,,
JSC,LE14SW4,634,LE14SW,1,52715,4,COYE,85,S,,,
JSC,LE14SW4,634,LE14SW,1,52715,4,SEWR,92,S,,,
JSC,LE14SW5,622,LE14SW,1,52715,3,SAVS,51,S,,,
JSC,LE14SW5,622,LE14SW,1,52715,3,SAVS,53,S,,,
JSC,LE14SW5,622,LE14SW,1,52715,3,SAVS,30,S,,,
JSC,LE14SW5,622,LE14SW,1,52715,3,BOBO,90,V,,M,
JSC,LE14SW5,622,LE14SW,1,52715,3,CCSP,78,S,,,
JSC,LE14SW5,622,LE14SW,1,52715,3,BOBO,92,V,,M,
JSC,LE14SW5,622,LE14SW,1,52715,3,BOBO,90,V,,M,
JSC,LE14SW5,622,LE14SW,1,52715,3,LCSP,46,S,,,
JSC,LE20NE1,557,LE20NE,1,52715,3,SWSP,91,S,,,
JSC,LE20NE1,557,LE20NE,1,52715,3,SAVS,42,S,,,
JSC,LE20NE1,557,LE20NE,1,52715,3,SAVS,48,S,,,
JSC,LE20NE1,557,LE20NE,1,52715,3,CCSP,61,S,,,
JSC,LE20NE1,557,LE20NE,1,52715,3,SEWR,50,S,,,
JSC,LE20NE1,557,LE20NE,1,52715,3,SEWR,42,S,,,
JSC,LE20NE1,557,LE20NE,1,52715,3,RWBL,92,S,,,
JSC,LE20NE1,557,LE20NE,1,52715,3,LCSP,38,S,,,
JSC,LE20NE1,557,LE20NE,1,52715,3,BHCO,87,V,,M,
JSC,LE20NE1,557,LE20NE,1,52715,3,SAVS,73,S,,,
JSC,LE20NE1,557,LE20NE,1,52715,3,RWBL,91,S,,,
JSC,LE20NE2,547,LE20NE,1,52715,3,MAGO,85,V,,,
JSC,LE20NE2,547,LE20NE,1,52715,3,MAGO,85,V,,,
JSC,LE20NE2,547,LE20NE,1,52715,3,MAGO,85,V,,,
