site,Site,ForbAvg,ForbSD,GrassAvg,GrassSD,WoodyAvg,WoodySD,BareAvg,BareSD,WdyStemsAvg,WdyStemsSD,SpurgeStmAvg,SpurgeStmSD,LiveHtAvg,LiveHtSD,VORAvg,VORSD,LitterDptAvg,LitterDptSD,Time1,Date1,Wind1,Time2,Date2,Wind2,Time3,Date3,Wind3,Time4,Date4,Wind4,BoVisit1,BoVisit2,BoVisit3,BoVisit4,SaVisit1,SaVisit2,SaVisit3,SaVisit4,SeVisit1,SeVisit2,SeVisit3,SeVisit4,LcVisit1,LcVisit2,LcVisit3,LcVisit4,WeVisit1,WeVisit2,WeVisit3,WeVisit4,CcVisit1,CcVisit2,CcVisit3,CcVisit4,Trees,Shrubs,WoodyIndex,NewPoint,UTM_E,UTM_N,EigenOne,EigenTwo,EigenThree,EigenFour
BL18NE1,BL18NE,14,10.83974169,86,10.83974169,0,0,0,0,0,0,9.8,10.98635517,64.735,6.677260853,50.375,5.806112081,8.98,2.144571636,1.2,11,2,1.083333333,18,0,2.383333333,28,1,4,36,2,3,2,1,0,2,2,4,3,2,3,1,1,0,1,0,2,0,0,0,0,1,1,0,1,3,1,4,N,622870.2207,5316447.263,0.015749748,-0.17315496,0.211535303,-0.261875165
BL18NE2,BL18NE,11,8.94427191,89,8.94427191,0,0,0,0,0,0,17.2,18.64671553,76.575,22.4307058,53.75,13.5856657,10.325,3.35824545,1.65,11,1,1.5,18,0,2.783333333,28,1,4.166666667,36,2,1,0,0,2,2,2,3,2,1,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,5,0,5,Y,623135.3388,5316392.366,0.015775947,-0.173181531,0.21142109,-0.261999006
BL18NE4,BL18NE,5,5,95,5,0,0,1,2.236067977,0,0,0,0,61.275,14.55344676,47.25,19.37802396,11.07,3.971633795,1.466666667,11,1,1.3,18,0,2.6,28,1,4.35,36,2,2,2,0,0,2,2,2,2,2,3,1,1,2,1,0,1,0,0,0,0,1,1,1,1,15,4,19,N,623170.6249,5315997.907,0.027886214,-0.167330341,0.216086793,-0.285118071
BL9SE1,BL9SE,3,4.472135955,97,4.472135955,0,0,3,2.738612788,0,0,0,0,36.19,7.202898722,16.25,5.555121511,0.75,1.069900696,0.383333333,11,2,0.55,18,0,1.666666667,28,0,3.216666667,36,2,0,0,0,0,4,3,4,4,0,1,0,0,0,0,0,0,2,1,2,0,0,0,0,0,5,0,5,N,625944.6483,5317306.652,0.01561576,-0.247896433,0.007728422,0.00896867
BL9SE2,BL9SE,14,11.93733639,85,14.14213562,1,2.236067977,3,4.472135955,3.2,7.155417528,0,0,36.45,10.32849517,19.875,9.786789566,0.115,0.149582753,0.05,11,2,0.766666667,18,0,1.35,28,0,2.866666667,36,2,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,5,30,35,Y,626374.333,5317372.9,0.01567421,-0.248066989,0.00668902,0.009830964
BL9SE3,BL9SE,3,2.738612788,97,2.738612788,0,0,2,4.472135955,0,0,0,0,42.72,13.17489801,22.125,16.46848316,0.905,1.138310151,0.216666667,11,3,0.383333333,18,0,1.516666667,28,0,3.05,36,1,0,0,0,0,3,4,5,3,0,0,0,0,0,0,1,1,2,2,1,2,0,1,0,0,13,1,14,Y,626162.6121,5317093.209,0.015720317,-0.247876707,0.007283042,0.009343749
BL9SE4,BL9SE,0,0,100,0,0,0,1,2.236067977,0,0,0,0,44.845,7.889300508,25,6.25,1.435,1.152795515,0.783333333,11,2,0.016666667,18,0,2.033333333,28,0,3.616666667,36,1,0,0,1,0,4,4,4,4,0,0,0,0,0,0,0,0,2,2,1,1,0,1,1,0,58,0,58,Y,626374.9565,5316944.539,0.015806193,-0.247870261,0.006828794,0.009723106
BL9SE5,BL9SE,1,2.236067977,99,2.236067977,0,0,5,3.535533906,0,0,0,0,43.405,5.5566233,23,8.494023634,0.375,0.714361603,0.566666667,11,2,0.216666667,18,0,1.85,28,0,3.416666667,36,1,0,0,0,0,4,3,3,3,0,1,1,0,0,0,0,0,1,3,1,2,0,0,0,0,7,0,7,N,625925.3795,5316881.363,0.01574412,-0.247688409,0.007913945,0.008821963
FA12NE1,FA12NE,20,17.67766953,80,17.67766953,1,2.236067977,4,4.183300133,3.4,7.602631123,0.2,0.447213595,23.145,3.409242951,9.875,3.199120973,0.53,0.424779354,2.5,7,2,0.816666667,17,0,1.05,24,1,2.433333333,35,2,0,0,1,1,4,3,3,3,0,0,0,0,0,0,0,0,1,2,1,1,1,2,1,1,22,16,38,N,631142.352,5298903.416,0.219608662,0.094210226,0.020438995,0.009120029
FA12NE2,FA12NE,3,2.738612788,97,2.738612788,0,0,3,2.738612788,0,0,0,0,34.275,14.94313178,21.625,11.49558339,1.765,1.248574187,2.316666667,7,1,0.016666667,17,0,0.866666667,24,1,2.233333333,35,1,0,0,0,1,3,4,4,4,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,N,631566.2291,5298882.444,0.219531449,0.094169103,0.020420284,0.009143087
FA12NE3,FA12NE,4,5.477225575,96,5.477225575,0,0,2,2.738612788,0,0,0,0,36.355,5.395322048,22.875,3.016879597,2.09,0.933842867,2.666666667,7,2,0.183333333,17,0,1.2,24,1,2.6,35,2,0,0,1,1,4,3,4,4,0,0,0,0,0,0,0,0,2,2,1,1,0,1,1,0,2,0,2,N,631368.0449,5298695.541,0.219534708,0.094170919,0.020420788,0.009144904
FA12NE4,FA12NE,2,2.738612788,98,2.738612788,0,0,2,2.738612788,0,0,0,0,31.815,10.82183268,20.375,7.700446416,2,1.67014221,3.033333333,7,3,0.366666667,17,0,1.383333333,24,1,3,35,2,0,0,0,0,4,4,3,3,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,1,0,0,0,N,631638.6027,5298448.529,0.219431146,0.094115679,0.020395896,0.009173696
