Bird_Point,GrassAvg,Trees,Shrubs,WoodyIndex,Invert,Type,BareAvg,AmtCat,site,Observer,Time1,Date1,Cloud1,Temp1,Wind1,Time2,Date2,Cloud2,Temp2,Wind2,Time3,Date3,Cloud3,Temp3,Wind3,BoVisit1,BoVisit2,BoVisit3,SaVisit1,SaVisit2,SaVisit3,SeVisit1,SeVisit2,SeVisit3,LcVisit1,LcVisit2,LcVisit3,WeVisit1,WeVisit2,WeVisit3,CcVisit1,CcVisit2,CcVisit3,LiveHtAvg,LiveHtSD,VORAvg,VORSD,LitterDptAvg,LitterDptSD,UTM_E,UTM_N,EigenOne,EigenTwo,EigenThree,EigenFour
BL18NE1,86.56,0,4,4,0.033,I,0,168.422995,BL18NE1,JSC,1.633333333,13,80,13,2,1.35,23,0,15,1,0,33,95,16,1,3,5,2,2,3,2,1,2,3,1,1,1,0,0,0,0,0,0,29.04,11.93651959,14.125,7.010037446,2.13,1.588572472,622870.2207,5316447.263,-0.064479795,-0.286234363,0.025325884,-0.210668625
BL18NE2,88.1,6,3,9,0.1499,I,0,3484.183768,BL18NE2,JSC,1.433333333,13,89,13,2,2.1,23,0,16.2,2,1.183333333,33,100,16.7,1,1,1,0,2,1,2,0,0,2,0,0,0,0,0,2,1,2,1,36,15.18715535,21.875,16.67122334,2.525,1.748749553,623145.5952,5316424.236,-0.064458336,-0.286178313,0.025147686,-0.211016743
BL18NE3,83.27,1,7,8,0.0614,I,0,12692.43271,BL18NE3,JSC,2.266666667,13,89,13.5,2,1.916666667,23,1,16.1,1,0.6,33,100,16.4,1,3,2,0,1,3,1,0,0,0,0,0,0,0,0,1,0,2,1,31.895,8.266884238,18.5,5.258920992,3.585,0.57516302,623014.761,5316221.565,-0.064367317,-0.286073611,0.025031896,-0.210877035
BL18NE4,94.66,4,10,14,0.0531,I,0,0,BL18NE4,JSC,2.066666667,13,90,13.2,2,1.75,23,1,16,1,0.416666667,33,99,16.5,1,2,1,0,3,3,3,0,0,2,0,1,1,2,0,1,1,2,0,27.76,7.983040617,16.625,6.667317677,2.11,0.9121746,623170.6249,5315997.907,-0.052880811,-0.286659862,0.03440123,-0.243966019
BL9SE4,96.52,38,0,38,0.1253,G,0,5157.971451,BL9SE4,JSC,0.933333333,13,75,13.4,2,3.133333333,23,2,18.2,2,2.233333333,35,100,22.3,1,1,1,0,1,0,4,0,0,0,0,0,0,2,4,2,0,0,1,39.15,15.4734248,11.25,4.841229183,1.135,1.078859351,626310.6433,5316951.564,-0.068673398,-0.28172842,-0.319736699,-0.058311112
FA11NW3,99.13,13,0,13,0.0696,I,0,2376.618483,FA11NW3,JSC,2.25,19,98,11,3,2.066666667,29,20,20.8,1,2.266666667,39,15,23,1,1,0,0,0,0,1,0,1,2,0,0,0,1,2,1,0,1,0,62.815,24.1792822,54.75,11.88815061,0.95,1.960867155,628949.7814,5298642.663,0.202467811,0.023490151,0.03429697,0.010834876
FA11NW4,93.33,14,0,14,0.0823,I,0,2315.955778,FA11NW4,JSC,2.683333333,19,98,10.3,3,2.5,29,8,22.6,2,2.483333333,39,14,22.8,2,2,2,0,0,1,2,0,2,3,0,0,0,0,0,1,1,0,0,56.23,18.73121893,37.125,12.80563841,0.34,0.473880259,629187.0187,5298405.936,0.202350711,0.02347033,0.034213564,0.010857516
FA11NW5,75.43,0,31,31,0.2521,I,0,802.683559,FA11NW5,JSC,2.466666667,19,99,10.4,3,2.266666667,29,8,21.7,1,2.683333333,39,10,23.6,2,1,1,2,2,2,1,1,1,3,0,0,0,1,1,1,4,3,3,39.945,14.54110983,41.85,6.085587482,3.04,1.251698846,628738.4609,5298411.207,0.202350129,0.023468772,0.034214155,0.010840001
FA12NE3,88.81,0,0,0,0.0373,G,32.8,0,FA12NE3,JSC,0.383333333,19,100,10.1,2,1.05,29,30,17.4,1,1.116666667,39,60,21,2,0,1,0,3,4,4,0,0,0,0,0,0,1,2,2,0,0,0,19.45,11.61554723,8.625,5.869678441,0.05,0.070710678,631368.0449,5298695.541,0.2020413,0.023412899,0.033996107,0.010859117
FA12NE4,97.28,1,2,3,0.1723,G,1,0,FA12NE4,JSC,0.8,19,100,10,4,1.3,29,38,17.9,1,1.533333333,39,48,21.1,2,1,2,0,4,7,3,0,0,0,0,0,0,1,1,1,0,1,1,35.58,6.469553694,22.25,3.32485902,0.025,0.055901699,631638.6027,5298448.529,0.20181413,0.023371574,0.033836156,0.010868976
FE17NW3,87.69,0,0,0,0.0711,I,0,248.509831,FE17NW3,JSC,0.2,11,10,13.3,0,3.9,23,4,19.3,2,3.55,30,6,22.3,1,0,1,2,3,4,3,0,0,1,0,0,0,1,0,1,1,1,2,29.705,7.610486187,14.475,7.159674399,2.62,0.924898643,631948.4988,5326083.244,-0.098959638,0.10676536,-0.426193181,0.149095228
FE27NE3,97.86,4,6,10,0.0973,I,0,5586.65558,FE27NE3,JSC,1.5,11,5,15.9,0,1.75,22,100,17.5,0,0.6,31,100,16,2,3,2,2,0,1,1,2,4,2,0,0,0,0,0,0,0,1,1,43.85,4.777191905,31.75,3.229502671,3.345,1.165305754,635983.2474,5322917.287,0.010493468,-0.03997794,-0.527652094,0.125499299
GI25SE1,89.13,0,0,0,0.1624,H,3,0,GI25SE1,JSC,3.716666667,13,70,16,3,0.616666667,23,2,13.2,2,0.583333333,35,100,21.5,2,6,5,3,3,2,4,0,3,2,0,0,0,0,1,0,0,0,0,38.88,11.52482917,23.375,4.772152292,0.55,0.410030487,619761.3655,5322088.595,-0.114896226,-0.197778054,0.152995024,0.202105462
GI25SE3,97.58,0,0,0,0.233,H,1.15,0,GI25SE3,JSC,3.25,13,70,15.5,2,0.183333333,23,3,13.1,2,0.75,35,100,22.5,0,2,4,1,4,2,4,0,3,2,0,0,2,1,0,0,0,0,0,55.485,11.96417308,24.875,9.706634329,3.2,1.270949448,620006.0971,5321859.516,-0.108058757,-0.217711584,0.131157808,0.250833865
GI25SE4,87.45,0,0,0,0.1547,H,3.53,0,GI25SE4,JSC,3.066666667,13,85,16.3,2,0.016666667,23,6,13.1,2,1.133333333,35,100,22.1,1,3,3,2,5,5,2,1,2,2,0,0,2,0,0,1,0,0,1,44.34,4.853819372,27.61,4.204484213,4.87,1.880109704,620176.3397,5321689.256,-0.108048076,-0.21797086,0.13098093,0.250034708
GI25SE5,90.66,0,0,0,0.162,H,0,871.189947,GI25SE5,JSC,2.85,13,90,14.4,2,0.833333333,23,1,13.7,2,0.933333333,35,100,22,2,3,5,2,4,3,4,1,3,2,0,0,0,0,0,1,0,0,0,46.035,7.972111546,27.25,10.37010427,3.72,3.248817092,619781.3713,5321630.643,-0.107877295,-0.217927216,0.130837231,0.249694519
LA16NW1,98.48,0,0,0,0.2289,G,3,1.195093,LA16NW1,JSC,0.083333333,16,95,12.3,0,4.466666667,27,80,21.5,2,3.633333333,37,0,22.3,0,0,1,1,4,3,2,0,1,0,0,0,0,2,2,0,0,0,1,45.995,31.40914178,32,20.11393329,2.405,2.482778182,623779.8124,5326097.792,-0.163476773,-0.038461508,0.039469116,-0.124359862
LA16NW3,94.95,0,0,0,0.1898,G,0,1917.726798,LA16NW3,JSC,0.533333333,16,90,12,1,3.716666667,27,38,20.5,2,3.233333333,37,0,21.7,0,2,2,1,3,3,3,2,1,1,1,1,1,1,1,2,0,0,0,43.98,13.88591238,30.325,14.93543396,2.03,1.169989316,623958.6928,5325916.793,-0.163432166,-0.038902497,0.039113368,-0.124612044
LA16NW4,95.3,0,0,0,0.1472,G,10,6301.891721,LA16NW4,JSC,0.75,16,68,12,2,3.983333333,27,68,21,2,3.033333333,37,0,21.1,0,3,1,2,1,1,2,2,1,2,1,1,0,0,2,1,0,0,0,41.69,17.45238701,26.125,9.200458548,3.735,3.655800186,624201.3926,5325684.599,-0.163359315,-0.039455945,0.038624713,-0.12493628
LA8NW4,82.6,0,0,0,0.1005,I,13,311.798075,LA8NW4,JSC,2.1,16,3,14.8,2,3.016666667,27,35,20.6,2,0.383333333,37,1,14.4,0,5,4,1,5,5,6,0,1,0,0,0,0,0,0,0,1,0,0,40.17,9.861912213,23,13.48755213,1.45,1.041183221,622482.9416,5327349.644,-0.163480635,-0.035411717,0.041812581,-0.122352726
